CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX,RACE,CUMULATIVE RATE,WEEKLY RATE
Entire Network,COVID-NET,2020-22,2023,5,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,6,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,7,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,8,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,9,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,10,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,11,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,12,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,13,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,14,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,15,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,16,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,17,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,18,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,19,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,20,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,21,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,22,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,23,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,24,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,25,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,26,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,27,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,28,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,29,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,30,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,31,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,32,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,33,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,34,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,35,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,36,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,37,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,38,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,39,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,40,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,41,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,42,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,43,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,44,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,45,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,46,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,47,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,48,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,49,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,50,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,51,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,52,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2022,1,5-17 yr,Overall,Overall,73.5,4.4
Entire Network,COVID-NET,2020-22,2022,2,5-17 yr,Overall,Overall,77.3,3.9
Entire Network,COVID-NET,2020-22,2022,3,5-17 yr,Overall,Overall,81.2,3.8
Entire Network,COVID-NET,2020-22,2022,4,5-17 yr,Overall,Overall,83.8,2.6
Entire Network,COVID-NET,2020-22,2022,5,5-17 yr,Overall,Overall,85.7,1.9
Entire Network,COVID-NET,2020-22,2022,6,5-17 yr,Overall,Overall,87.3,1.6
Entire Network,COVID-NET,2020-22,2022,7,5-17 yr,Overall,Overall,88.3,1
Entire Network,COVID-NET,2020-22,2022,8,5-17 yr,Overall,Overall,89.2,0.9
Entire Network,COVID-NET,2020-22,2022,9,5-17 yr,Overall,Overall,90.1,0.9
Entire Network,COVID-NET,2020-22,2022,10,5-17 yr,Overall,Overall,90.7,0.6
Entire Network,COVID-NET,2020-22,2022,11,5-17 yr,Overall,Overall,91.2,0.5
Entire Network,COVID-NET,2020-22,2022,12,5-17 yr,Overall,Overall,91.4,0.2
Entire Network,COVID-NET,2020-22,2022,13,5-17 yr,Overall,Overall,91.8,0.3
Entire Network,COVID-NET,2020-22,2022,14,5-17 yr,Overall,Overall,92,0.2
Entire Network,COVID-NET,2020-22,2022,15,5-17 yr,Overall,Overall,92.3,0.3
Entire Network,COVID-NET,2020-22,2022,16,5-17 yr,Overall,Overall,92.7,0.4
Entire Network,COVID-NET,2020-22,2022,17,5-17 yr,Overall,Overall,93.3,0.6
Entire Network,COVID-NET,2020-22,2022,18,5-17 yr,Overall,Overall,93.8,0.6
Entire Network,COVID-NET,2020-22,2022,19,5-17 yr,Overall,Overall,94.8,1
Entire Network,COVID-NET,2020-22,2022,20,5-17 yr,Overall,Overall,95.8,0.9
Entire Network,COVID-NET,2020-22,2022,21,5-17 yr,Overall,Overall,96.6,0.8
Entire Network,COVID-NET,2020-22,2022,22,5-17 yr,Overall,Overall,97.5,0.9
Entire Network,COVID-NET,2020-22,2022,23,5-17 yr,Overall,Overall,98.5,1
Entire Network,COVID-NET,2020-22,2022,24,5-17 yr,Overall,Overall,99,0.6
Entire Network,COVID-NET,2020-22,2022,25,5-17 yr,Overall,Overall,100,0.9
Entire Network,COVID-NET,2020-22,2022,26,5-17 yr,Overall,Overall,101,1
Entire Network,COVID-NET,2020-22,2022,27,5-17 yr,Overall,Overall,102,1
Entire Network,COVID-NET,2020-22,2022,28,5-17 yr,Overall,Overall,102.8,0.8
Entire Network,COVID-NET,2020-22,2022,29,5-17 yr,Overall,Overall,103.9,1.1
Entire Network,COVID-NET,2020-22,2022,30,5-17 yr,Overall,Overall,105.2,1.4
Entire Network,COVID-NET,2020-22,2022,31,5-17 yr,Overall,Overall,106.4,1.1
Entire Network,COVID-NET,2020-22,2022,32,5-17 yr,Overall,Overall,107.4,1
Entire Network,COVID-NET,2020-22,2022,33,5-17 yr,Overall,Overall,108.4,1.1
Entire Network,COVID-NET,2020-22,2022,34,5-17 yr,Overall,Overall,109.6,1.2
Entire Network,COVID-NET,2020-22,2022,35,5-17 yr,Overall,Overall,110.6,1
Entire Network,COVID-NET,2020-22,2022,36,5-17 yr,Overall,Overall,111.3,0.7
Entire Network,COVID-NET,2020-22,2022,37,5-17 yr,Overall,Overall,112.1,0.8
Entire Network,COVID-NET,2020-22,2022,38,5-17 yr,Overall,Overall,112.7,0.6
Entire Network,COVID-NET,2020-22,2022,39,5-17 yr,Overall,Overall,113.3,0.6
Entire Network,COVID-NET,2020-22,2022,40,5-17 yr,Overall,Overall,113.8,0.5
Entire Network,COVID-NET,2020-22,2022,41,5-17 yr,Overall,Overall,114.1,0.3
Entire Network,COVID-NET,2020-22,2022,42,5-17 yr,Overall,Overall,114.5,0.4
Entire Network,COVID-NET,2020-22,2022,43,5-17 yr,Overall,Overall,114.9,0.4
Entire Network,COVID-NET,2020-22,2022,44,5-17 yr,Overall,Overall,115.3,0.4
Entire Network,COVID-NET,2020-22,2022,45,5-17 yr,Overall,Overall,115.8,0.5
Entire Network,COVID-NET,2020-22,2022,46,5-17 yr,Overall,Overall,116.3,0.5
Entire Network,COVID-NET,2020-22,2022,47,5-17 yr,Overall,Overall,116.8,0.5
Entire Network,COVID-NET,2020-22,2022,48,5-17 yr,Overall,Overall,117.3,0.5
Entire Network,COVID-NET,2020-22,2022,49,5-17 yr,Overall,Overall,118,0.6
Entire Network,COVID-NET,2020-22,2022,50,5-17 yr,Overall,Overall,118.7,0.7
Entire Network,COVID-NET,2020-22,2022,51,5-17 yr,Overall,Overall,119.4,0.8
Entire Network,COVID-NET,2020-22,2022,52,5-17 yr,Overall,Overall,120.2,0.8
Entire Network,COVID-NET,2020-22,2023,1,5-17 yr,Overall,Overall,120.8,0.5
Entire Network,COVID-NET,2020-22,2023,2,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,3,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,4,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,5,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,6,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,7,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,8,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,9,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,10,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,11,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,12,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,13,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,14,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,15,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,16,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,17,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,18,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,19,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,20,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,21,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,22,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,23,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,24,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,25,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,26,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,27,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,28,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,29,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,30,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,31,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,32,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,33,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,34,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,35,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,36,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,37,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,38,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,39,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,40,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,41,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,42,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,43,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,44,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,45,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,46,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,47,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,48,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,49,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,50,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,51,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,52,5-17 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2022,1,18-49 yr,Overall,Overall,562.3,23.4
Entire Network,COVID-NET,2020-22,2022,2,18-49 yr,Overall,Overall,583.3,21
Entire Network,COVID-NET,2020-22,2022,3,18-49 yr,Overall,Overall,599.5,16.2
Entire Network,COVID-NET,2020-22,2022,4,18-49 yr,Overall,Overall,611.8,12.3
Entire Network,COVID-NET,2020-22,2022,5,18-49 yr,Overall,Overall,620.4,8.7
Entire Network,COVID-NET,2020-22,2022,6,18-49 yr,Overall,Overall,627,6.6
Entire Network,COVID-NET,2020-22,2022,7,18-49 yr,Overall,Overall,631.3,4.3
Entire Network,COVID-NET,2020-22,2022,8,18-49 yr,Overall,Overall,634.8,3.5
Entire Network,COVID-NET,2020-22,2022,9,18-49 yr,Overall,Overall,637.4,2.5
Entire Network,COVID-NET,2020-22,2022,10,18-49 yr,Overall,Overall,639.2,1.8
Entire Network,COVID-NET,2020-22,2022,11,18-49 yr,Overall,Overall,640.7,1.5
Entire Network,COVID-NET,2020-22,2022,12,18-49 yr,Overall,Overall,642.2,1.5
Entire Network,COVID-NET,2020-22,2022,13,18-49 yr,Overall,Overall,643.5,1.2
Entire Network,COVID-NET,2020-22,2022,14,18-49 yr,Overall,Overall,644.9,1.4
Entire Network,COVID-NET,2020-22,2022,15,18-49 yr,Overall,Overall,646.5,1.6
Entire Network,COVID-NET,2020-22,2022,16,18-49 yr,Overall,Overall,648.5,2
Entire Network,COVID-NET,2020-22,2022,17,18-49 yr,Overall,Overall,650.9,2.4
Entire Network,COVID-NET,2020-22,2022,18,18-49 yr,Overall,Overall,653.7,2.8
Entire Network,COVID-NET,2020-22,2022,19,18-49 yr,Overall,Overall,657.2,3.5
Entire Network,COVID-NET,2020-22,2022,20,18-49 yr,Overall,Overall,661.3,4.1
Entire Network,COVID-NET,2020-22,2022,21,18-49 yr,Overall,Overall,665.1,3.7
Entire Network,COVID-NET,2020-22,2022,22,18-49 yr,Overall,Overall,669.1,4.1
Entire Network,COVID-NET,2020-22,2022,23,18-49 yr,Overall,Overall,672.9,3.8
Entire Network,COVID-NET,2020-22,2022,24,18-49 yr,Overall,Overall,676.6,3.7
Entire Network,COVID-NET,2020-22,2022,25,18-49 yr,Overall,Overall,680.8,4.2
Entire Network,COVID-NET,2020-22,2022,26,18-49 yr,Overall,Overall,685.2,4.5
Entire Network,COVID-NET,2020-22,2022,27,18-49 yr,Overall,Overall,690.1,4.9
Entire Network,COVID-NET,2020-22,2022,28,18-49 yr,Overall,Overall,695.5,5.4
Entire Network,COVID-NET,2020-22,2022,29,18-49 yr,Overall,Overall,700.6,5.1
Entire Network,COVID-NET,2020-22,2022,30,18-49 yr,Overall,Overall,705.8,5.2
Entire Network,COVID-NET,2020-22,2022,31,18-49 yr,Overall,Overall,710.8,5.1
Entire Network,COVID-NET,2020-22,2022,32,18-49 yr,Overall,Overall,715.6,4.8
Entire Network,COVID-NET,2020-22,2022,33,18-49 yr,Overall,Overall,720.3,4.7
Entire Network,COVID-NET,2020-22,2022,34,18-49 yr,Overall,Overall,724.6,4.3
Entire Network,COVID-NET,2020-22,2022,35,18-49 yr,Overall,Overall,728.1,3.6
Entire Network,COVID-NET,2020-22,2022,36,18-49 yr,Overall,Overall,731.6,3.5
Entire Network,COVID-NET,2020-22,2022,37,18-49 yr,Overall,Overall,734.6,3
Entire Network,COVID-NET,2020-22,2022,38,18-49 yr,Overall,Overall,737.8,3.2
Entire Network,COVID-NET,2020-22,2022,39,18-49 yr,Overall,Overall,740.6,2.8
Entire Network,COVID-NET,2020-22,2022,40,18-49 yr,Overall,Overall,743,2.4
Entire Network,COVID-NET,2020-22,2022,41,18-49 yr,Overall,Overall,745.5,2.5
Entire Network,COVID-NET,2020-22,2022,42,18-49 yr,Overall,Overall,747.9,2.5
Entire Network,COVID-NET,2020-22,2022,43,18-49 yr,Overall,Overall,750.1,2.2
Entire Network,COVID-NET,2020-22,2022,44,18-49 yr,Overall,Overall,752.8,2.6
Entire Network,COVID-NET,2020-22,2022,45,18-49 yr,Overall,Overall,755.4,2.6
Entire Network,COVID-NET,2020-22,2022,46,18-49 yr,Overall,Overall,758.2,2.8
Entire Network,COVID-NET,2020-22,2022,47,18-49 yr,Overall,Overall,760.9,2.7
Entire Network,COVID-NET,2020-22,2022,48,18-49 yr,Overall,Overall,764.5,3.6
Entire Network,COVID-NET,2020-22,2022,49,18-49 yr,Overall,Overall,767.8,3.3
Entire Network,COVID-NET,2020-22,2022,50,18-49 yr,Overall,Overall,771.4,3.6
Entire Network,COVID-NET,2020-22,2022,51,18-49 yr,Overall,Overall,774.7,3.3
Entire Network,COVID-NET,2020-22,2022,52,18-49 yr,Overall,Overall,778.2,3.5
Entire Network,COVID-NET,2020-22,2023,1,18-49 yr,Overall,Overall,780.4,2.2
Entire Network,COVID-NET,2020-22,2023,2,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,3,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,4,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,5,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,6,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,7,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,8,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,9,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,10,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,11,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,12,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,13,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,14,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,15,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,16,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,17,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,18,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,19,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,20,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,21,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,22,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,23,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,24,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,25,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,26,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,27,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,28,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,29,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,30,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,31,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,32,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,33,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,34,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,35,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,36,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,37,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,38,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,39,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,40,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,41,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,42,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,43,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,44,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,45,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,46,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,47,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,48,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,49,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,50,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,51,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,52,18-49 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2022,1,50-64 yr,Overall,Overall,1288.7,44.4
Entire Network,COVID-NET,2020-22,2022,2,50-64 yr,Overall,Overall,1330,41.2
Entire Network,COVID-NET,2020-22,2022,3,50-64 yr,Overall,Overall,1363.7,33.7
