Año,Semana epidemiológica,virus,Subtipo Virus,Muestras positivas,,
2016,11,Influenza A,A(H1N1)pdm09,1,0,11
2016,11,Influenza A,A(H3),0,0,11
2016,11,,Adenovirus,1,0,11
2016,11,,Bocavirus,0,0,11
2016,11,COVID,Coronavirus,0,0,11
2016,11,,Metapneumovirus,0,0,11
2016,11,,Otros,0,0,11
2016,11,,Parainfluenza,3,0,11
2016,11,Influenza B,Positivo influenza  B,0,0,11
2016,11,,Rinovirus,0,0,11
2016,11,VRS,VRS,1,0,11
2016,12,Influenza A,A no subtipificable,0,0,11
2016,12,Influenza A,A no subtipificado,0,0,
2016,12,Influenza A,A(H1),0,0,
2016,12,Influenza A,A(H1N1)pdm09,1,0,
2016,12,Influenza A,A(H3),0,0,
2016,12,,Adenovirus,1,0,
2016,12,,Bocavirus,0,0,
2016,12,COVID,Coronavirus,0,0,
2016,12,,Metapneumovirus,0,0,
2016,12,,Otros,0,0,
2016,12,,Parainfluenza,0,0,
2016,12,Influenza B,Positivo influenza  B,1,0,
2016,12,,Rinovirus,0,0,
2016,12,VRS,VRS,1,0,
2016,13,Influenza A,A no subtipificable,0,0,
2016,13,Influenza A,A no subtipificado,1,0,
2016,13,Influenza A,A(H1),0,0,
2016,13,Influenza A,A(H1N1)pdm09,1,0,
2016,13,Influenza A,A(H3),0,0,
2016,13,,Adenovirus,0,0,
2016,13,,Bocavirus,0,0,
2016,13,COVID,Coronavirus,0,0,
2016,13,,Metapneumovirus,0,0,
2016,13,,Otros,0,0,
2016,13,,Parainfluenza,3,0,
2016,13,Influenza B,Positivo influenza  B,0,0,
2016,13,,Rinovirus,0,0,
2016,13,VRS,VRS,3,0,
2016,14,Influenza A,A no subtipificable,0,0,
2016,14,Influenza A,A no subtipificado,0,0,
2016,14,Influenza A,A(H1),0,0,
2016,14,Influenza A,A(H1N1)pdm09,1,0,
2016,14,Influenza A,A(H3),0,0,
2016,14,,Adenovirus,2,0,
2016,14,,Bocavirus,0,0,
2016,14,COVID,Coronavirus,0,0,
2016,14,,Metapneumovirus,0,0,
2016,14,,Otros,0,0,
2016,14,,Parainfluenza,1,0,
2016,14,Influenza B,Positivo influenza  B,1,0,
2016,14,,Rinovirus,0,0,
2016,14,VRS,VRS,2,0,
2016,15,Influenza A,A no subtipificable,0,0,
2016,15,Influenza A,A no subtipificado,0,0,
2016,15,Influenza A,A(H1),0,0,
2016,15,Influenza A,A(H1N1)pdm09,0,0,
2016,15,Influenza A,A(H3),0,0,
2016,15,,Adenovirus,0,0,
2016,15,,Bocavirus,0,0,
2016,15,COVID,Coronavirus,0,0,
2016,15,,Metapneumovirus,0,0,
2016,15,,Otros,0,0,
2016,15,,Parainfluenza,1,0,
2016,15,Influenza B,Positivo influenza  B,0,0,
2016,15,,Rinovirus,0,0,
2016,15,VRS,VRS,2,0,
2016,16,Influenza A,A no subtipificable,0,0,
2016,16,Influenza A,A no subtipificado,0,0,
2016,16,Influenza A,A(H1),0,0,
2016,16,Influenza A,A(H1N1)pdm09,1,0,
2016,16,Influenza A,A(H3),0,0,
2016,16,,Adenovirus,1,0,
2016,16,,Bocavirus,0,0,
2016,16,COVID,Coronavirus,0,0,
2016,16,,Metapneumovirus,1,0,
2016,16,,Otros,0,0,
2016,16,,Parainfluenza,0,0,
2016,16,Influenza B,Positivo influenza  B,3,0,
2016,16,,Rinovirus,0,0,
2016,16,VRS,VRS,2,0,
2016,17,Influenza A,A no subtipificable,0,0,
2016,17,Influenza A,A no subtipificado,2,0,
2016,17,Influenza A,A(H1),0,0,
2016,17,Influenza A,A(H1N1)pdm09,5,0,
2016,17,Influenza A,A(H3),0,0,
2016,17,,Adenovirus,1,0,
2016,17,,Bocavirus,0,0,
2016,17,COVID,Coronavirus,0,0,
2016,17,,Metapneumovirus,0,0,
2016,17,,Otros,0,0,
2016,17,,Parainfluenza,3,0,
2016,17,Influenza B,Positivo influenza  B,0,0,
2016,17,,Rinovirus,0,0,
2016,17,VRS,VRS,7,0,
2016,18,Influenza A,A no subtipificable,0,0,
2016,18,Influenza A,A no subtipificado,0,0,
2016,18,Influenza A,A(H1),0,0,
2016,18,Influenza A,A(H1N1)pdm09,1,0,
2016,18,Influenza A,A(H3),0,0,
2016,18,,Adenovirus,2,0,
2016,18,,Bocavirus,0,0,
2016,18,COVID,Coronavirus,0,0,
2016,18,,Metapneumovirus,0,0,
2016,18,,Otros,0,0,
2016,18,,Parainfluenza,2,0,
2016,18,Influenza B,Positivo influenza  B,0,0,
2016,18,,Rinovirus,0,0,
2016,18,VRS,VRS,9,0,
2016,19,Influenza A,A no subtipificable,0,0,
2016,19,Influenza A,A no subtipificado,2,0,
2016,19,Influenza A,A(H1),0,0,
2016,19,Influenza A,A(H1N1)pdm09,4,0,
2016,19,Influenza A,A(H3),0,0,
2016,19,,Adenovirus,0,0,
2016,19,,Bocavirus,0,0,
2016,19,COVID,Coronavirus,0,0,
2016,19,,Metapneumovirus,3,0,
2016,19,,Otros,0,0,
2016,19,,Parainfluenza,9,0,
2016,19,Influenza B,Positivo influenza  B,1,0,
2016,19,,Rinovirus,0,0,
2016,19,VRS,VRS,6,0,
2016,20,Influenza A,A no subtipificable,0,0,
2016,20,Influenza A,A no subtipificado,1,0,
2016,20,Influenza A,A(H1),0,0,
2016,20,Influenza A,A(H1N1)pdm09,7,0,
2016,20,Influenza A,A(H3),0,0,
2016,20,,Adenovirus,2,0,
2016,20,,Bocavirus,0,0,
2016,20,COVID,Coronavirus,0,0,
2016,20,,Metapneumovirus,3,0,
2016,20,,Otros,0,0,
2016,20,,Parainfluenza,5,0,
2016,20,Influenza B,Positivo influenza  B,1,0,
2016,20,,Rinovirus,0,0,
2016,20,VRS,VRS,13,0,
2016,21,Influenza A,A no subtipificable,0,0,
2016,21,Influenza A,A no subtipificado,0,0,
2016,21,Influenza A,A(H1),0,0,
2016,21,Influenza A,A(H1N1)pdm09,6,0,
2016,21,Influenza A,A(H3),0,0,
2016,21,,Adenovirus,4,0,
2016,21,,Bocavirus,0,0,
2016,21,COVID,Coronavirus,0,0,
2016,21,,Metapneumovirus,3,0,
2016,21,,Otros,0,0,
2016,21,,Parainfluenza,9,0,
2016,21,Influenza B,Positivo influenza  B,1,0,
2016,21,,Rinovirus,0,0,
2016,21,VRS,VRS,37,0,
2016,22,Influenza A,A no subtipificable,0,0,
2016,22,Influenza A,A no subtipificado,1,0,
2016,22,Influenza A,A(H1),0,0,
2016,22,Influenza A,A(H1N1)pdm09,5,0,
2016,22,Influenza A,A(H3),1,0,
2016,22,,Adenovirus,5,0,
2016,22,,Bocavirus,0,0,
2016,22,COVID,Coronavirus,0,0,
2016,22,,Metapneumovirus,1,0,
2016,22,,Otros,0,0,
2016,22,,Parainfluenza,14,0,
2016,22,Influenza B,Positivo influenza  B,0,0,
2016,22,,Rinovirus,1,0,
2016,22,VRS,VRS,41,0,
2016,23,Influenza A,A no subtipificable,0,0,
2016,23,Influenza A,A no subtipificado,4,0,
2016,23,Influenza A,A(H1),0,0,
2016,23,Influenza A,A(H1N1)pdm09,12,0,
2016,23,Influenza A,A(H3),1,0,
2016,23,,Adenovirus,0,0,
2016,23,,Bocavirus,0,0,
2016,23,COVID,Coronavirus,0,0,
2016,23,,Metapneumovirus,2,0,
2016,23,,Otros,0,0,
2016,23,,Parainfluenza,12,0,
2016,23,Influenza B,Positivo influenza  B,3,0,
2016,23,,Rinovirus,0,0,
2016,23,VRS,VRS,59,0,
2016,24,Influenza A,A no subtipificable,0,0,
2016,24,Influenza A,A no subtipificado,3,0,
2016,24,Influenza A,A(H1),0,0,
2016,24,Influenza A,A(H1N1)pdm09,9,0,
2016,24,Influenza A,A(H3),2,0,
2016,24,,Adenovirus,2,0,
2016,24,,Bocavirus,1,0,
2016,24,COVID,Coronavirus,0,0,
2016,24,,Metapneumovirus,4,0,
2016,24,,Otros,0,0,
2016,24,,Parainfluenza,11,0,
2016,24,Influenza B,Positivo influenza  B,1,0,
2016,24,,Rinovirus,1,0,
2016,24,VRS,VRS,54,0,
2016,25,Influenza A,A no subtipificable,0,0,
2016,25,Influenza A,A no subtipificado,3,0,
2016,25,Influenza A,A(H1),0,0,
2016,25,Influenza A,A(H1N1)pdm09,8,0,
2016,25,Influenza A,A(H3),0,0,
2016,25,,Adenovirus,1,0,
2016,25,,Bocavirus,0,0,
2016,25,COVID,Coronavirus,0,0,
2016,25,,Metapneumovirus,6,0,
2016,25,,Otros,0,0,
2016,25,,Parainfluenza,9,0,
2016,25,Influenza B,Positivo influenza  B,5,0,
2016,25,,Rinovirus,0,0,
2016,25,VRS,VRS,58,0,
2016,26,Influenza A,A no subtipificable,0,0,
2016,26,Influenza A,A no subtipificado,9,0,
2016,26,Influenza A,A(H1),0,0,
2016,26,Influenza A,A(H1N1)pdm09,20,0,
2016,26,Influenza A,A(H3),2,0,
2016,26,,Adenovirus,3,0,
2016,26,,Bocavirus,0,0,
2016,26,COVID,Coronavirus,0,0,
2016,26,,Metapneumovirus,0,0,
2016,26,,Otros,0,0,
2016,26,,Parainfluenza,9,0,
2016,26,Influenza B,Positivo influenza  B,5,0,
2016,26,,Rinovirus,0,0,
2016,26,VRS,VRS,87,0,
2016,27,Influenza A,A no subtipificable,0,0,
2016,27,Influenza A,A no subtipificado,14,0,
2016,27,Influenza A,A(H1),0,0,
2016,27,Influenza A,A(H1N1)pdm09,25,0,
2016,27,Influenza A,A(H3),2,0,
2016,27,,Adenovirus,4,0,
2016,27,,Bocavirus,0,0,
2016,27,COVID,Coronavirus,0,0,
2016,27,,Metapneumovirus,9,0,
2016,27,,Otros,0,0,
2016,27,,Parainfluenza,7,0,
2016,27,Influenza B,Positivo influenza  B,6,0,
2016,27,,Rinovirus,0,0,
2016,27,VRS,VRS,86,0,
2016,28,Influenza A,A no subtipificable,0,0,
2016,28,Influenza A,A no subtipificado,22,0,
2016,28,Influenza A,A(H1),0,0,
2016,28,Influenza A,A(H1N1)pdm09,46,0,
2016,28,Influenza A,A(H3),5,0,
2016,28,,Adenovirus,2,0,
2016,28,,Bocavirus,0,0,
2016,28,COVID,Coronavirus,0,0,
2016,28,,Metapneumovirus,14,0,
2016,28,,Otros,0,0,
2016,28,,Parainfluenza,4,0,
2016,28,Influenza B,Positivo influenza  B,9,0,
2016,28,,Rinovirus,0,0,
2016,28,VRS,VRS,83,0,
2016,29,Influenza A,A no subtipificable,0,0,
2016,29,Influenza A,A no subtipificado,23,0,
2016,29,Influenza A,A(H1),0,0,
2016,29,Influenza A,A(H1N1)pdm09,45,0,
2016,29,Influenza A,A(H3),2,0,
2016,29,,Adenovirus,4,0,
2016,29,,Bocavirus,0,0,
2016,29,COVID,Coronavirus,0,0,
2016,29,,Metapneumovirus,7,0,
2016,29,,Otros,2,0,
2016,29,,Parainfluenza,10,0,
2016,29,Influenza B,Positivo influenza  B,7,0,
2016,29,,Rinovirus,0,0,
2016,29,VRS,VRS,77,0,
2016,30,Influenza A,A no subtipificable,0,0,
2016,30,Influenza A,A no subtipificado,18,0,
2016,30,Influenza A,A(H1),0,0,
2016,30,Influenza A,A(H1N1)pdm09,27,0,
2016,30,Influenza A,A(H3),3,0,
2016,30,,Adenovirus,3,0,
2016,30,,Bocavirus,0,0,
2016,30,COVID,Coronavirus,0,0,
2016,30,,Metapneumovirus,3,0,
2016,30,,Otros,0,0,
2016,30,,Parainfluenza,6,0,
2016,30,Influenza B,Positivo influenza  B,7,0,
2016,30,,Rinovirus,0,0,
2016,30,VRS,VRS,51,0,
2016,31,Influenza A,A no subtipificable,0,0,
2016,31,Influenza A,A no subtipificado,19,0,
2016,31,Influenza A,A(H1),0,0,
2016,31,Influenza A,A(H1N1)pdm09,34,0,
2016,31,Influenza A,A(H3),2,0,
2016,31,,Adenovirus,4,0,
2016,31,,Bocavirus,0,0,
2016,31,COVID,Coronavirus,0,0,
2016,31,,Metapneumovirus,4,0,
2016,31,,Otros,1,0,
2016,31,,Parainfluenza,0,0,
2016,31,Influenza B,Positivo influenza  B,2,0,
2016,31,,Rinovirus,0,0,
2016,31,VRS,VRS,46,0,
2016,32,Influenza A,A no subtipificable,0,0,
2016,32,Influenza A,A no subtipificado,31,0,
2016,32,Influenza A,A(H1),0,0,
2016,32,Influenza A,A(H1N1)pdm09,45,0,
2016,32,Influenza A,A(H3),5,0,
2016,32,,Adenovirus,4,0,
2016,32,,Bocavirus,0,0,
2016,32,COVID,Coronavirus,0,0,
2016,32,,Metapneumovirus,8,0,
2016,32,,Otros,1,0,
2016,32,,Parainfluenza,3,0,
2016,32,Influenza B,Positivo influenza  B,7,0,
2016,32,,Rinovirus,1,0,
2016,32,VRS,VRS,42,0,
2016,33,Influenza A,A no subtipificable,0,0,
2016,33,Influenza A,A no subtipificado,23,0,
2016,33,Influenza A,A(H1),0,0,
2016,33,Influenza A,A(H1N1)pdm09,45,0,
2016,33,Influenza A,A(H3),3,0,
2016,33,,Adenovirus,1,0,
2016,33,,Bocavirus,0,0,
2016,33,COVID,Coronavirus,0,0,
2016,33,,Metapneumovirus,9,0,
2016,33,,Otros,0,0,
2016,33,,Parainfluenza,4,0,
2016,33,Influenza B,Positivo influenza  B,6,0,
2016,33,,Rinovirus,0,0,
2016,33,VRS,VRS,30,0,
2016,34,Influenza A,A no subtipificable,0,0,
2016,34,Influenza A,A no subtipificado,20,0,
2016,34,Influenza A,A(H1),0,0,
2016,34,Influenza A,A(H1N1)pdm09,28,0,
2016,34,Influenza A,A(H3),3,0,
2016,34,,Adenovirus,3,0,
2016,34,,Bocavirus,0,0,
2016,34,COVID,Coronavirus,0,0,
2016,34,,Metapneumovirus,10,0,
2016,34,,Otros,0,0,
2016,34,,Parainfluenza,2,0,
2016,34,Influenza B,Positivo influenza  B,8,0,
2016,34,,Rinovirus,0,0,
2016,34,VRS,VRS,22,0,
2016,35,Influenza A,A no subtipificable,0,0,
2016,35,Influenza A,A no subtipificado,22,0,
2016,35,Influenza A,A(H1),0,0,
2016,35,Influenza A,A(H1N1)pdm09,26,0,
2016,35,Influenza A,A(H3),10,0,
2016,35,,Adenovirus,4,0,
2016,35,,Bocavirus,0,0,
2016,35,COVID,Coronavirus,0,0,
2016,35,,Metapneumovirus,11,0,
2016,35,,Otros,0,0,
2016,35,,Parainfluenza,1,0,
2016,35,Influenza B,Positivo influenza  B,9,0,
2016,35,,Rinovirus,0,0,
2016,35,VRS,VRS,19,0,
2016,36,Influenza A,A no subtipificable,0,0,
2016,36,Influenza A,A no subtipificado,14,0,
2016,36,Influenza A,A(H1),0,0,
2016,36,Influenza A,A(H1N1)pdm09,14,0,
2016,36,Influenza A,A(H3),15,0,
2016,36,,Adenovirus,1,0,
2016,36,,Bocavirus,0,0,
2016,36,COVID,Coronavirus,0,0,
2016,36,,Metapneumovirus,9,0,
2016,36,,Otros,0,0,
2016,36,,Parainfluenza,4,0,
2016,36,Influenza B,Positivo influenza  B,5,0,
2016,36,,Rinovirus,0,0,
2016,36,VRS,VRS,20,0,
2016,37,Influenza A,A no subtipificable,0,0,
2016,37,Influenza A,A no subtipificado,9,0,
2016,37,Influenza A,A(H1),0,0,
2016,37,Influenza A,A(H1N1)pdm09,10,0,
2016,37,Influenza A,A(H3),10,0,
2016,37,,Adenovirus,4,0,
2016,37,,Bocavirus,0,0,
2016,37,COVID,Coronavirus,0,0,
2016,37,,Metapneumovirus,5,0,
2016,37,,Otros,0,0,
2016,37,,Parainfluenza,2,0,
2016,37,Influenza B,Positivo influenza  B,8,0,
2016,37,,Rinovirus,0,0,
2016,37,VRS,VRS,8,0,
2016,38,Influenza A,A no subtipificable,0,0,
2016,38,Influenza A,A no subtipificado,14,0,
2016,38,Influenza A,A(H1),0,0,
2016,38,Influenza A,A(H1N1)pdm09,14,0,
2016,38,Influenza A,A(H3),13,0,
2016,38,,Adenovirus,1,0,
2016,38,,Bocavirus,0,0,
2016,38,COVID,Coronavirus,0,0,
2016,38,,Metapneumovirus,3,0,
2016,38,,Otros,0,0,
2016,38,,Parainfluenza,1,0,
2016,38,Influenza B,Positivo influenza  B,5,0,
2016,38,,Rinovirus,0,0,
2016,38,VRS,VRS,9,0,
2016,39,Influenza A,A no subtipificable,1,0,
2016,39,Influenza A,A no subtipificado,7,0,
2016,39,Influenza A,A(H1),0,0,
2016,39,Influenza A,A(H1N1)pdm09,4,0,
2016,39,Influenza A,A(H3),11,0,
2016,39,,Adenovirus,2,0,
2016,39,,Bocavirus,0,0,
2016,39,COVID,Coronavirus,0,0,
2016,39,,Metapneumovirus,7,0,
2016,39,,Otros,0,0,
2016,39,,Parainfluenza,5,0,
2016,39,Influenza B,Positivo influenza  B,1,0,
2016,39,,Rinovirus,0,0,
2016,39,VRS,VRS,8,0,
2016,40,Influenza A,A no subtipificable,0,0,
2016,40,Influenza A,A no subtipificado,4,0,
2016,40,Influenza A,A(H1),0,0,
2016,40,Influenza A,A(H1N1)pdm09,3,0,
2016,40,Influenza A,A(H3),8,0,
2016,40,,Adenovirus,2,0,
2016,40,,Bocavirus,0,0,
2016,40,COVID,Coronavirus,0,0,
2016,40,,Metapneumovirus,5,0,
2016,40,,Otros,0,0,
2016,40,,Parainfluenza,10,0,
2016,40,Influenza B,Positivo influenza  B,4,0,
2016,40,,Rinovirus,0,0,
2016,40,VRS,VRS,0,0,
2016,41,Influenza A,A no subtipificable,0,0,
2016,41,Influenza A,A no subtipificado,2,0,
2016,41,Influenza A,A(H1),0,0,
2016,41,Influenza A,A(H1N1)pdm09,0,0,
2016,41,Influenza A,A(H3),3,0,
2016,41,,Adenovirus,3,0,
2016,41,,Bocavirus,0,0,
2016,41,COVID,Coronavirus,0,0,
2016,41,,Metapneumovirus,6,0,
2016,41,,Otros,0,0,
2016,41,,Parainfluenza,3,0,
2016,41,Influenza B,Positivo influenza  B,4,0,
2016,41,,Rinovirus,0,0,
2016,41,VRS,VRS,2,0,
2016,42,Influenza A,A no subtipificable,0,0,
2016,42,Influenza A,A no subtipificado,3,0,
2016,42,Influenza A,A(H1),0,0,
2016,42,Influenza A,A(H1N1)pdm09,2,0,
2016,42,Influenza A,A(H3),8,0,
2016,42,,Adenovirus,0,0,
2016,42,,Bocavirus,0,0,
2016,42,COVID,Coronavirus,0,0,
2016,42,,Metapneumovirus,4,0,
2016,42,,Otros,1,0,
2016,42,,Parainfluenza,3,0,
2016,42,Influenza B,Positivo influenza  B,3,0,
2016,42,,Rinovirus,0,0,
2016,42,VRS,VRS,0,0,
2016,43,Influenza A,A no subtipificable,0,0,
2016,43,Influenza A,A no subtipificado,2,0,
2016,43,Influenza A,A(H1),0,0,
2016,43,Influenza A,A(H1N1)pdm09,1,0,
2016,43,Influenza A,A(H3),3,0,
2016,43,,Adenovirus,1,0,
2016,43,,Bocavirus,0,0,
2016,43,COVID,Coronavirus,0,0,
2016,43,,Metapneumovirus,5,0,
2016,43,,Otros,0,0,
2016,43,,Parainfluenza,3,0,
2016,43,Influenza B,Positivo influenza  B,0,0,
2016,43,,Rinovirus,0,0,
2016,43,VRS,VRS,4,0,
2016,44,Influenza A,A no subtipificable,0,0,
2016,44,Influenza A,A no subtipificado,5,0,
2016,44,Influenza A,A(H1),0,0,
2016,44,Influenza A,A(H1N1)pdm09,1,0,
2016,44,Influenza A,A(H3),5,0,
2016,44,,Adenovirus,0,0,
2016,44,,Bocavirus,0,0,
2016,44,COVID,Coronavirus,0,0,
2016,44,,Metapneumovirus,5,0,
2016,44,,Otros,0,0,
2016,44,,Parainfluenza,3,0,
2016,44,Influenza B,Positivo influenza  B,0,0,
2016,44,,Rinovirus,0,0,
2016,44,VRS,VRS,2,0,
2016,45,Influenza A,A no subtipificable,0,0,
2016,45,Influenza A,A no subtipificado,1,0,
2016,45,Influenza A,A(H1),0,0,
2016,45,Influenza A,A(H1N1)pdm09,0,0,
2016,45,Influenza A,A(H3),1,0,
2016,45,,Adenovirus,1,0,
2016,45,,Bocavirus,0,0,
2016,45,COVID,Coronavirus,0,0,
2016,45,,Metapneumovirus,0,0,
2016,45,,Otros,0,0,
2016,45,,Parainfluenza,3,0,
2016,45,Influenza B,Positivo influenza  B,0,0,
2016,45,,Rinovirus,0,0,
2016,45,VRS,VRS,2,0,
2016,46,Influenza A,A no subtipificable,0,0,
2016,46,Influenza A,A no subtipificado,0,0,
2016,46,Influenza A,A(H1),0,0,
2016,46,Influenza A,A(H1N1)pdm09,0,0,
2016,46,Influenza A,A(H3),2,0,
2016,46,,Adenovirus,1,0,
2016,46,,Bocavirus,0,0,
2016,46,COVID,Coronavirus,0,0,
2016,46,,Metapneumovirus,2,0,
2016,46,,Otros,0,0,
2016,46,,Parainfluenza,1,0,
2016,46,Influenza B,Positivo influenza  B,2,0,
2016,46,,Rinovirus,0,0,
2016,46,VRS,VRS,3,0,
2016,47,Influenza A,A no subtipificable,0,0,
2016,47,Influenza A,A no subtipificado,1,0,
2016,47,Influenza A,A(H1),0,0,
2016,47,Influenza A,A(H1N1)pdm09,2,0,
2016,47,Influenza A,A(H3),2,0,
2016,47,,Adenovirus,4,0,
2016,47,,Bocavirus,0,0,
2016,47,COVID,Coronavirus,0,0,
2016,47,,Metapneumovirus,2,0,
2016,47,,Otros,0,0,
2016,47,,Parainfluenza,3,0,
2016,47,Influenza B,Positivo influenza  B,0,0,
2016,47,,Rinovirus,0,0,
2016,47,VRS,VRS,1,0,
2016,48,Influenza A,A no subtipificable,0,0,
2016,48,Influenza A,A no subtipificado,0,0,
2016,48,Influenza A,A(H1),0,0,
2016,48,Influenza A,A(H1N1)pdm09,0,0,
2016,48,Influenza A,A(H3),2,0,
2016,48,,Adenovirus,0,0,
2016,48,,Bocavirus,0,0,
2016,48,COVID,Coronavirus,0,0,
2016,48,,Metapneumovirus,5,0,
2016,48,,Otros,0,0,
2016,48,,Parainfluenza,5,0,
2016,48,Influenza B,Positivo influenza  B,1,0,
2016,48,,Rinovirus,0,0,
2016,48,VRS,VRS,2,0,
2016,49,Influenza A,A no subtipificable,0,0,
